TF gene	TF locus tag	TG gene	TG locus tag
aaeR	b3243	aaeA	b3241
crp	b3357	aaeA	b3241
aaeR	b3243	aaeB	b3240
crp	b3357	aaeB	b3240
crp	b3357	aaeR	b3243
aaeR	b3243	aaeX	b3242
crp	b3357	aaeX	b3242
nac	b1988	abgA	b1338
crp	b3357	abgR	b1339
nac	b1988	abgR	b1339
nac	b1988	abpA	b2628
accA	b0185	accA	b0185
accD	b2316	accA	b0185
fadR	b1187	fadD	b0185
accB	b3255	accB	b3255
fadR	b1187	accB	b3255
accB	b3255	accC	b3256
fadR	b1187	accC	b3256
accA	b0185	accD	b2316
accD	b2316	accD	b2316
fadR	b1187	accD	b2316
arcA	b4401	aceA	b4015
cra	b0080	aceA	b4015
crp	b3357	aceA	b4015
iclR	b4018	aceA	b4015
ihfA	b1712	aceA	b4015
ihfB	b0912	aceA	b4015
arcA	b4401	aceB	b4014
cra	b0080	aceB	b4014
crp	b3357	aceB	b4014
flhC	b1891	aceB	b4014
flhD	b1892	aceB	b4014
iclR	b4018	aceB	b4014
ihfA	b1712	aceB	b4014
ihfB	b0912	aceB	b4014
lrp	b0889	aceB	b4014
nac	b1988	aceB	b4014
arcA	b4401	aceE	b0114
btsR	b2125	aceE	b0114
cra	b0080	aceE	b0114
crp	b3357	aceE	b0114
fnr	b1334	aceE	b0114
nsrR	b4178	aceE	b0114
pdhR	b0113	aceE	b0114
arcA	b4401	aceF	b0115
btsR	b2125	aceF	b0115
cra	b0080	aceF	b0115
crp	b3357	aceF	b0115
fnr	b1334	aceF	b0115
nsrR	b4178	aceF	b0115
pdhR	b0113	aceF	b0115
arcA	b4401	aceK	b4016
cra	b0080	aceK	b4016
crp	b3357	aceK	b4016
iclR	b4018	aceK	b4016
ihfA	b1712	aceK	b4016
ihfB	b0912	aceK	b4016
arcA	b4401	ackA	b2296
creB	b4398	ackA	b2296
fnr	b1334	ackA	b2296
nac	b1988	ackA	b2296
sdhX	b4764	ackA	b2296
arcA	b4401	acnA	b1276
cra	b0080	acnA	b1276
crp	b3357	acnA	b1276
csrA	b2696	acnA	b1276
fnr	b1334	acnA	b1276
fur	b0683	acnA	b1276
marA	b1531	acnA	b1276
rob	b4396	acnA	b1276
soxS	b4062	acnA	b1276
acnB	b0118	acnB	b0118
