Uniprot_ID;Gene_ID;Gene;Function;Essentiality_Y_N;Essentiality_0_1;Essentiality_0_1keeping;Essentiality_0_11notkeeping
P31119;b2836;aas;AAS bifunctional protein;N;0;0;0
P23885;b0885;aat;Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.-);N;0;0;0
P30750;b0199;abc;ATP-binding protein abc;N;0;0;0
P77357;b1338;abgA;Aminobenzoyl-glutamate utilization protein A;N;0;0;0
P76052;b1337;abgB;Aminobenzoyl-glutamate utilization protein B;N;0;0;0
P77744;b1339;abgR;Putative transcriptional regulator abgR;N;0;0;0
P46133;b1336;abgT;Aminobenzoyl-glutamate transport protein;N;0;0;0
P75747;b0715;abrB;AbrB protein;N;0;0;0
P30867;b0185;accA;Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (EC 6.4.1.2);E;1;1;1
P02905;b3255;accB;Biotin carboxyl carrier protein of acetyl-CoA carboxylase;X;0;1;1
P24182;b3256;accC;Biotin carboxylase (EC 6.3.4.14) (A subunit of acetyl-CoA carboxylase (EC 6.4.1.2));X;0;1;1
P08193;b2316;accD;Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (EC 6.4.1.2);N*;0;1;1
P05313;b4015;aceA;Isocitrate lyase (EC 4.1.3.1);N;0;0;0
P08997;b4014;aceB;Malate synthase A (EC 4.1.3.2);N;0;0;0
P06958;b0114;aceE;Pyruvate dehydrogenase E1 component (EC 1.2.4.1);N;0;1;1
P06959;b0115;aceF;Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12);E;1;1;1
P11071;b4016;aceK;Isocitrate dehydrogenase kinase/phosphatase (EC 2.7.1.116) (EC 3.1.3.-);N;0;0;0
P15046;b2296;ackA;Acetate kinase (EC 2.7.2.1);E;1;1;0
P25516;b1276;acnA;Aconitate hydratase 1 (EC 4.2.1.3);N;0;0;0
P36683;b0118;acnB;Aconitate hydratase 2 (EC 4.2.1.3);N;0;1;1
P41407;b1412;acpD;Acyl carrier protein phosphodiesterase (EC 3.1.4.14);E;1;1;0
P02901;b1094;acpP;Acyl carrier protein;?;0;1;1
P24224;b2563;acpS;Holo-[acyl-carrier protein] synthase (EC 2.7.8.7);E;1;1;1
P31223;b0463;acrA;Acriflavine resistance protein A precursor;N;0;0;0
P31224;b0462;acrB;Acriflavine resistance protein B;N;0;0;0
P24177;b2470;acrD;Probable aminoglycoside efflux pump;N;0;0;0
P24180;b3265;acrE;Acriflavine resistance protein E precursor;N;0;0;0
P24181;b3266;acrF;Acriflavine resistance protein F;N;0;0;0
P34000;b0464;acrR;Potential acrAB operon repressor;N;0;0;0
P27550;b4069;acs;Acetyl-coenzyme A synthetase (EC 6.2.1.1);N;0;0;0
P06134;b2213;ada;ADA regulatory protein;N;0;0;0
P22333;b1623;add;Adenosine deaminase (EC 3.5.4.4);N;0;0;0
P25437;b0356;adhC;Alcohol dehydrogenase class III (EC 1.1.1.1) (EC 1.2.1.1);N;0;0;0
P17547;b1241;adhE;Aldehyde-alcohol dehydrogenase;N;0;0;0
P39451;b1478;adhP;Alcohol dehydrogenase, propanol-preferring (EC 1.1.1.1);N;0;0;0
P28629;b4117;adiA;Biodegradative arginine decarboxylase (EC 4.1.1.19);N;0;0;0
P33234;b4116;adiY;Putative regulatory protein adiY;X;0;0;0
P05082;b0474;adk;Adenylate kinase (EC 2.7.4.3);E;1;1;1
P37127;b2468;aegA;AegA protein;N;0;0;0
P50466;b3072;aer;Aerotaxis receptor;N;0;0;0
P23872;b0476;aes;Acetyl esterase (EC 3.1.1.-);N;0;0;0
P75681;b0263;afuB;Putative ferric transport system permease protein afuB;N;0;0;0
P37009;b0262;afuC;Putative ferric transport ATP-binding protein afuC;N;0;0;0
P42906;b3135;agaA;Putative N-acetylgalactosamine-6-phosphate deacetylase (EC 3.5.1.80);N;0;0;0
P42909;b3138;agaB;PTS system, N-acetylgalactosamine-specific IIB component 1 (EC 2.7.1.69);?;0;0;0
P42910;b3139;agaC;PTS system, N-acetylgalactosamine-specific IIC component 1;N;0;0;0
P42911;b3140;agaD;PTS system, N-acetylgalactosamine-specific IID component;N;0;0;0
P42912;b3141;agaI;Putative galactosamine-6-phosphate isomerase (EC 5.3.1.-);N;0;0;0
P42902;b3131;agaR;Putative aga operon transcriptional repressor;N;0;0;0
P42907;b3136;agaS;Putative tagatose-6-phosphate ketose/aldose isomerase (EC 5.-.-.-);N;0;0;0
P42904;b3133;agaV;PTS system, N-acetylgalactosamine-specific IIB component 2 (EC 2.7.1.69);E;1;1;0
P42905;b3134;agaW;PTS system, N-acetylgalactosamine-specific IIC component 2;E;1;1;0
P42908;b3137;agaY;Tagatose-bisphosphate aldolase agaY (EC 4.1.2.-);N;0;0;0
P42903;b3132;agaZ;Putative tagatose 6-phosphate kinase agaZ (EC 2.7.1.144);N;0;0;0
P19926;b1002;agp;Glucose-1-phosphatase precursor (EC 3.1.3.10);N;0;0;0
P26427;b0605;ahpC;Alkyl hydroperoxide reductase C22 protein (EC 1.6.4.-);N;0;0;0
P35340;b0606;ahpF;Alkyl hydroperoxide reductase subunit F (EC 1.6.4.-);N;0;0;0
P33224;b4187;aidB;AidB protein;N;0;0;0
P45565;b2252;ais;Ais protein;X;0;0;0
P00957;b2697;alaS;Alanyl-tRNA synthetase (EC 6.1.1.7);E;1;1;1
P25553;b1415;aldA;Aldehyde dehydrogenase A (EC 1.2.1.22);N;0;0;0
P37685;b3588;aldB;Aldehyde dehydrogenase B (EC 1.2.1.22);X;0;0;0
P23883;b1300;aldH;Putative aldehyde dehydrogenase (EC 1.2.1.3);N;0;0;0
P04395;b2068;alkA;DNA-3-methyladenine glycosylase II (EC 3.2.2.21);N;0;0;0
P05050;b2212;alkB;Alkylated DNA repair protein alkB;N;0;0;0
P77731;b0505;allA;Ureidoglycolate hydrolase (EC 3.5.3.19);E;1;1;0
P77671;b0512;allB;Allantoinase (EC 3.5.2.5);N;0;0;0
P77425;b0516;allC;Allantoate amidohydrolase (EC 3.5.3.-);N;0;0;0
P77555;b0517;allD;Ureidoglycolate dehydrogenase (EC 1.1.1.154);N;0;0;0
P77734;b0506;allR;Negative regulator of allantoin and glyoxylate utilization operons;N;0;0;0
P33997;b2624;alpA;Prophage CP4-57 regulatory protein alpA;X;0;0;0
P29743;b4053;alr;Alanine racemase, biosynthetic (EC 5.1.1.1);N;0;0;0
P32721;b4087;alsA;D-allose transport ATP-binding protein alsA;N;0;0;0
