"","YAL051W","YAR050W","YBL005W","YBL021C","YBL054W","YBL103C","YBR033W","YBR049C","YBR066C","YBR081C","YBR083W","YBR112C","YBR150C","YBR182C","YBR215W","YBR239C","YBR240C","YBR297W","YCL055W","YCL058C","YCR018C","YCR065W","YCR084C","YCR106W","YDL020C","YDL048C","YDL056W","YDL106C","YDL170W","YDL233W","YDR009W","YDR034C","YDR043C","YDR081C","YDR096W","YDR123C","YDR146C","YDR169C","YDR174W","YDR207C","YDR213W","YDR216W","YDR253C","YDR259C","YDR310C","YDR335W","YDR390C","YDR392W","YDR421W","YDR423C","YDR451C","YDR463W","YDR477W","YDR480W","YDR501W","YDR520C","YEL007W","YEL009C","YER028C","YER040W","YER045C","YER068W","YER088C","YER111C","YER161C","YER169W","YER184C","YFL031W","YFL052W","YFR034C","YGL013C","YGL035C","YGL071W","YGL073W","YGL096W","YGL166W","YGL209W","YGL237C","YGL252C","YGL254W","YGR044C","YGR249W","YGR288W","YHL010C","YHL020C","YHL027W","YHR006W","YHR056C","YHR084W","YHR124W","YHR178W","YHR206W","YIL033C","YIL036W","YIL101C","YIL122W","YIL130W","YIL131C","YIR018W","YIR023W","YIR033W","YJL056C","YJL089W","YJL103C","YJL110C","YJL124C","YJL127C","YJL210W","YJR060W","YJR094C","YJR127C","YJR147W","YKL015W","YKL020C","YKL032C","YKL038W","YKL043W","YKL062W","YKL109W","YKL112W","YKL185W","YKR064W","YKR067W","YKR077W","YKR099W","YLR014C","YLR055C","YLR098C","YLR113W","YLR120C","YLR131C","YLR176C","YLR182W","YLR183C","YLR223C","YLR228C","YLR256W","YLR266C","YLR403W","YLR451W","YML007W","YML027W","YML051W","YML076C","YML081W","YML099C","YMR016C","YMR019W","YMR021C","YMR023C","YMR037C","YMR039C","YMR042W","YMR043W","YMR070W","YMR125W","YMR164C","YMR172W","YMR182C","YMR280C","YNL027W","YNL068C","YNL097C","YNL098C","YNL103W","YNL167C","YNL199C","YNL216W","YNL229C","YNL239W","YNL314W","YOL028C","YOL051W","YOL067C","YOL089C","YOL108C","YOL116W","YOR028C","YOR032C","YOR047C","YOR066W","YOR113W","YOR140W","YOR162C","YOR172W","YOR230W","YOR290C","YOR337W","YOR344C","YOR358W","YOR372C","YOR380W","YPL038W","YPL049C","YPL075W","YPL089C","YPL128C","YPL133C","YPL139C","YPL177C","YPL202C","YPL230W","YPL248C","YPL254W","YPR008W","YPR009W","YPR065W","YPR104C","YPR199C"
"YAL001C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2817786982169e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192699902405478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000471830191127225,0,0,0,0,0,0,0,0,0,0
"YAL002W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002268809583286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YAL003W",0.00400825501346719,0,-9.82440829603625e-05,0,0,0,0,0.000110787104089285,8.12299704247949e-05,-0.000733867934466625,-0.000173276367399322,0,0,0,-0.00130687006253365,-0.000627772956735429,0,0,0,-0.00252552585005585,0,0,0,0,0.000270045760584074,0,0,0,-3.42741695712084e-05,0.00063474500212284,0,0,-0.000498984249198821,0,0,0,0,-0.000389444507393179,0.000438151402893297,0,0,-0.000260343979184306,0,0,-8.52183671705833e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000103119799676076,0,-0.00131721220432051,0,0,-0.000400822011948069,0,0,0,-0.00115625719511195,-0.000133015847599519,0.00106712107711866,0,0.000861431017940163,0.00189638646117728,0,0,-6.9454909608761e-05,0,-0.000664007230742282,0,0,0.000954256887937154,-0.00163306699607261,0,0,0,0.000438427052447697,0,-0.0003711035417225,0,0.000477744903350547,0,-0.00018038726250533,0.000765441370848276,0,0,0,0,0,0,0,0,0,-0.000100288543132423,-0.00191185605694897,0,0,0,0,0,0,0.000189576440560361,0,0.00010505057420662,0.00138689289176806,0,0,0,-0.000417306447988381,0,0,0,0,0,-0.00131390676258148,-0.000336407887705988,0,0,0,0,0,0,0,0,0,0.00228660933156523,-0.00147784767614632,0,0.000146949355489063,-0.000230595508693178,0,0,0,-0.000629364646904199,0,0,4.20556625593767e-05,0,-0.000172324066067933,-0.000178198724674763,0,0.000762812447536294,0,-0.000214042508899409,0,0,0,0.000253244593606489,0,0,-0.00357902905635316,-0.000936106246149489,0,0.00072079545669211,0.00129548158581653,0,0,0,0.00329505381331746,0,0,0,-0.00884411559686342,0.000253083419565948,0,0,0,-0.000376304272982364,0.00525487644191949,-0.000966052227174599,0,0,0,-0.00192515810411666,0,0,0,-3.40415045225936e-05,0,0,1.47332316190964e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000474236555192435,0,0.00714722062707439,0,0,0.000943818454164631
"YAL005C",0.00680499897522801,-6.59105703266666e-05,0.000264711509525215,0,-0.000498189716854472,-0.00364115699969487,0,0.0030168842668582,0,0,-0.000182514594937841,0,0,0,0,0,0.000619719974289519,0.00209070121511168,0,-0.00602943637960844,0.00558463106301107,0,0,-0.00130664299147028,0.00126066891954085,0,0,0.000243717986816374,-0.000579970032495868,0.000582317841536882,0.00121802915414223,0,0,0,0.0013947697793415,0,0,0,-0.000923680933097632,-0.0018105559579377,-0.000130899523263835,0.000123166415575273,-3.99095598858182e-05,0.000104442368373386,-0.000877916343302666,0,0,0,-0.0031178131296756,0.000717318699659061,0.000864456905299221,0.00114612704694438,0.00176933495702285,0,0,0,1.59864060505655e-05,0,-0.000411089909595989,0,-0.00175733546182397,0.00115208483447911,-0.000281510864746466,0.00113497202891865,-0.000931487904832257,0,0.000190535241012052,6.83732823272259e-06,0,0,0.00344854300688066,0.0024591394059622,-0.000646945818063076,0.0026431499251562,0,-0.00597278031219356,-0.000120729372115272,0,0,0.00471235805975594,0,0,-0.000338937598480008,-0.000606012341449705,0,0,0,0,-0.000164486952890913,-0.00386992199004694,-0.000168292321572939,-0.00113395718840112,0.000713115122247082,0,-0.00100584099551759,0,0,0,0,-0.00232541784909396,-3.5120763131586e-05,-0.000707826917499562,0.0025590474994945,0,0,-0.000854906152349287,0,0,0.0013554843112126,-0.00101494537001873,0.00156263574444229,0.00224870852854826,0,0,-0.00100866650644476,0.00170345739751461,0,-0.000273300687251466,0.000149636333241267,0.000391836470778737,0,-0.000210152326232506,-0.00190678906721366,0,-0.000738730215357526,0.00412619916890816,-0.00341158285201475,0,0,-0.000121153776624286,0,0,0,0,0,0.000865733854915314,0,-9.97825655880524e-05,-0.000522897403215378,0,0.000832925783301412,0.000288126778119341,-0.00102770398205207,0.00091436446591034,0.0010182856913467,0.00057456319954871,-0.000745884983860584,0,-0.00559174955782832,0.00171624890093826,0,-6.37577999134807e-05,-0.00129054163201899,-0.000967425139442602,-0.000221815377770433,0.000657721013943646,-0.00566886340957367,-0.000558719953404665,0,-0.00308080837827092,0,0,0,0.000154367845788919,0,0,0,0,-0.000474142446433366,0,0,-0.00091148452049561,0,0,-0.0019015180005824,-0.00517117808674411,0,-6.87842552667495e-05,0.000474511287894185,-0.0026372710166989,0,-0.00125142228977959,0,0.0042752547102625,-0.00456333252513093,1.57728153285537e-05,0.000124595454377879,-0.00292868375735839,0.00117939449465218,0.0035385852663529,0,0.00416154675983688,0.00594016785332549,-0.000762251293079852,-0.000155655101326904,0,-0.0022554678546703,-0.00305963378357845,0,-0.000882614640015779,0,0,0.000164190902955686,0.00139407435501892,0,0,0.000255129695534787,-0.00525397367968041,0.000460500250468764
"YAL007C",0.00204225654168695,0,0,0,0,0,0,0,0,0,-0.000174018930401403,0,0,0,0,-4.69004308744779e-05,0.000248507445326996,0,0,0,-0.000261905899050173,0,0,0,0,0,0,0,0,0,0,0,-0.000125764938023087,0,0,8.54601071379186e-05,0,0,0,-0.00100869576761097,0,-0.000127351410475849,0,0,0,0,0,0,0,0,0,0,0,0.00143095471854111,0,0,0,-2.45244722105996e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296614281003754,0,0,0,0,0,0,0,0,-0.00101883366774675,0,0,0,0,0,0,0,0,0.000936480775320469,0,0,0,0,0,0,0,0,0,0,0,0,-0.00211268880333861,-0.00100713417059537,0,0.00181875244021071,0,0,0,0,0,0,0,0,0,0,0,0,-0.000144990439141534,0,0.000268885393049223,0,-0.000783677710054307,0,0,0,0,0,0.000715096583883184,2.03475670483291e-05,0,0,0,0.00282605659372903,-0.00152889607741768,0,0,0.00195459484594206,0,0,0,0,0,0,0,0,0,0,0,0,0.000575694768991145,0,-0.0010108080822596,0,0,0,0,0,-0.00346119401557512,0,0,0,0.000763621984439547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041166035125042,-6.65182027216801e-05,0,0,0,-0.00198181652008889,0,-0.00112663004533809,0.00130972088003542,0,0,-0.000224515731320635,0,-0.00103835161840251,0,0.00221391546955089,0,0,0,0,0,-0.00308460390748047,0,0,0,-2.11247537544148e-05,-0.000742784346522284,0.000763865686331215,0,0.0011574618061477,0,0,0
"YAL008W",0.00667017085122685,0.000291380814794025,0.000393857644242923,-0.00366020172280352,0,0,0.0013089716627293,0,0,-0.00222047354182549,-0.000550971397039113,-8.96636183941299e-05,0,-0.000291672404587297,0.000535431681737279,0.00278280622658243,0,-0.000173531356003162,0,0.00629361876984812,0.00448348420365567,0.00150414719825679,-0.00050167232667886,-0.000206203728460806,-0.000280348604888346,0,0.00033595240308224,0,0,0,0.000677246680953865,1.39898154222114e-05,0.000529844275524518,0.00227795797093447,0.000240497179991065,0,0.00195974888168274,0,-0.000395022739179156,-0.000160366590623565,0,0,0,-0.000553298152018114,0,0,-0.000670569905242449,0.00242632829033002,-0.000741724097142727,-0.001656153642599,0,0,0,0.000708828086439895,-0.00123071668941534,0.0022034698957437,0.000114437838878955,-0.000184249612920095,0,0,0,0,0,0,-0.000839065337017098,0.00364379036502723,0,-0.000178548680130479,0,0,0,0,-0.000116692307798456,0,0.000249017527627156,0,-0.00093136375811225,0.00361927835699604,0.0012229690732646,0,0.000139348695197838,0,-0.000496211017232382,0,0,0.00110932753055844,0,0,0,0,0,-0.00103570347667373,0.00135978042289238,0,0,0,0,-0.00433372092747074,0,-0.00307794336604453,0.000518854401674739,0,0,0,0,0,-0.00150333837273701,0.0026499687575195,-0.000839896537770763,-0.00246706909750789,0.000508465146874258,-0.00189610178296967,-0.00174806535731805,0,0,-0.00155068562744624,0,0,0,0.00106527823111652,-5.28745790787718e-05,0.00148883706616301,0,0,0.000135097701860464,-0.00395420844879833,0,0.00482882671293297,0,7.35913422101336e-05,0,-0.00139703772767798,0,0,0,0,-0.000302690442464133,0.000443737796676672,-0.000253924783287691,0,0.000335901099641009,0,0,0,0,-0.000298097121268642,-0.00134320786113919,2.08944625244261e-05,-0.00105156766240651,0.00539263202861746,-0.00105773309780451,-0.00012982062257084,0,-0.00170142906085645,0,0,-0.00264310552642512,0,0.000931388898305328,0,0,0,0,0,-0.00150291125598618,0,0,0,0,-3.55586004950497e-05,0,0,-0.000683503663752604,0,0,0,0,0,0,-0.00132466625720787,0,0,-0.000732544654166268,0,0,0,-1.35298731515012e-05,-0.00163311748609076,0,0.0014204542172484,0,-0.00185694363114107,-0.0108091063051978,0,0,0,0.00235842815582658,0,0,0,-8.54355813577479e-05,0,-0.00203910805844323,0.00360168630064568,-0.000887188904002391,-0.000410126010209822,0,0,0
"YAL010C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38366991807312e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YAL012W",0.00370697967064054,0.000183031102358101,-0.00060888207818888,0,0.000464485607980918,0.00419216098456277,-0.0011412613794942,0.000602488562598855,0,-0.000853461507101373,0,-0.000154286255517689,0,0,-0.00243912796787141,-0.00227988088923886,0,0.000356899894651588,0,-0.00821097652215068,-0.00284672075637807,0,0,0.000373537196631726,3.82540907291371e-05,0.000103704310332898,0,0,0,0,-0.000942559980681485,0,0,0.00317714237572653,0,0.00380895718514385,-0.000551974533067268,0,-0.00139640140152738,0,-0.000434808321903606,-0.000298365608761479,0.022937088801226,0,-0.00160666535283967,0,0,0,-0.00199352840125382,0,0,0,0,-6.45297463588218e-05,0,0,0,0,0.000267641954126277,0,0,0.000717277362607385,0,0,-0.00124461988622155,-0.000247091169585853,0,-0.000139232385652779,0.00036533347577405,0.00107433018603038,0.00265077576314274,0.00024759817248732,0,0.000118216375498873,0,-0.00911672735763115,0,0,-0.000127210596518918,-0.00193072362243122,-0.00122906189755511,0,0,-9.49591567481862e-05,0,-0.000259074549760559,0,0,0.000898407113036533,0.00564641624182574,-0.00431614936772305,0.00109062299096644,0,0,-0.00101942069225443,-0.00216431040100868,0,0,0.00114069107345109,0.00026522882340437,0,0.00031774420181068,-0.00300809568017515,-0.00019197029033459,0,0,0.00323576539079396,0.00543704597842645,0,0.00103170856184355,0,0,0,0,0,-0.000760266822439999,-3.30861469235764e-05,0,0,0.00198231731959067,0.000354390871882524,-0.000371626457393082,-0.00168467193304602,0.00285951823604348,-0.00134394919949013,0.0062288007283224,-0.00386313294259304,0,9.20773247195374e-05,0,0,0,0,0.00175652355513064,-0.000258396683604419,0.000347314820144578,5.45671790616084e-05,-0.000945984868696132,0.00106940061821985,0,0.00119470821902855,0,0,0,0,0.00086276771776707,0,0,-0.0037774769988318,-0.000171182899302385,0.000302521454192562,-0.000413061614961974,0,0,0,0,0,0,0,0,0,0,0.000591546294948653,0,0.000991706521811495,0,0.00145452783934354,0,0,-0.000381855365662186,0,0,0,-0.00677571089129123,0,-0.00362859050916665,0.00470744817267937,-0.000218532017868184,0,0,0,-0.00203420137966213,0,0.00192573952594508,0,0,0,-0.00062017292744239,0,0,-0.000912551090735786,0.00175661157995127,-0.00376109138763545,0.000571435585459598,-0.00203767098655338,0,0.00195330103222941,0,0,-0.000797579862858589,0,0,-0.00169929693443596,0,-0.00119959283147232,0.00190959447061742,8.51323060307579e-05,-0.00418022318991175,0.00125134719641259
"YAL016W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129404492801481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YAL017W",0.000196257835480594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24664068617016e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
