TF	Target
YAL051W	YAL005C
YAL051W	YAL016W
YAL051W	YAL025C
YAL051W	YAL034W-A
YAL051W	YAL035W
YAL051W	YAL036C
YAL051W	YAL039C
YAL051W	YAL040C
YAL051W	YAL044C
YAL051W	YAL049C
YAL051W	YAL051W
YAL051W	YAL053W
YAL051W	YAL054C
YAL051W	YAL067C
YAL051W	YAR015W
YAL051W	YAR018C
YAL051W	YAR027W
YAL051W	YAR035W
YAL051W	YAR071W
YAL051W	YBL003C
YAL051W	YBL005W
YAL051W	YBL006C
YAL051W	YBL008W
YAL051W	YBL011W
YAL051W	YBL014C
YAL051W	YBL029C-A
YAL051W	YBL029W
YAL051W	YBL043W
YAL051W	YBL045C
YAL051W	YBL049W
YAL051W	YBL050W
YAL051W	YBL058W
YAL051W	YBL064C
YAL051W	YBL071W-A
YAL051W	YBL072C
YAL051W	YBL075C
YAL051W	YBL089W
YAL051W	YBL091C
YAL051W	YBL095W
YAL051W	YBL099W
YAL051W	YBR001C
YAL051W	YBR005W
YAL051W	YBR006W
YAL051W	YBR009C
YAL051W	YBR010W
YAL051W	YBR015C
YAL051W	YBR019C
YAL051W	YBR020W
YAL051W	YBR026C
YAL051W	YBR035C
YAL051W	YBR050C
YAL051W	YBR053C
YAL051W	YBR054W
YAL051W	YBR056W
YAL051W	YBR067C
YAL051W	YBR072W
YAL051W	YBR074W
YAL051W	YBR077C
YAL051W	YBR078W
YAL051W	YBR083W
YAL051W	YBR084C-A
YAL051W	YBR085W
YAL051W	YBR087W
YAL051W	YBR093C
YAL051W	YBR105C
YAL051W	YBR106W
YAL051W	YBR112C
YAL051W	YBR114W
YAL051W	YBR116C
YAL051W	YBR117C
YAL051W	YBR126C
YAL051W	YBR126W-A
YAL051W	YBR127C
YAL051W	YBR129C
YAL051W	YBR133C
YAL051W	YBR135W
YAL051W	YBR137W
YAL051W	YBR150C
YAL051W	YBR151W
YAL051W	YBR154C
YAL051W	YBR158W
YAL051W	YBR159W
YAL051W	YBR166C
YAL051W	YBR176W
YAL051W	YBR182C-A
YAL051W	YBR183W
YAL051W	YBR187W
YAL051W	YBR200W
YAL051W	YBR203W
YAL051W	YBR204C
YAL051W	YBR210W
YAL051W	YBR214W
YAL051W	YBR221W-A
YAL051W	YBR222C
YAL051W	YBR244W
YAL051W	YBR262C
YAL051W	YBR264C
YAL051W	YBR265W
YAL051W	YBR288C
YAL051W	YBR294W
YAL051W	YBR295W
YAL051W	YCL025C
YAL051W	YCL031C
YAL051W	YCL035C
YAL051W	YCL041C
YAL051W	YCL042W
YAL051W	YCL048W
YAL051W	YCR005C
YAL051W	YCR009C
YAL051W	YCR010C
YAL051W	YCR013C
YAL051W	YCR020C-A
YAL051W	YCR024C
YAL051W	YCR024C-A
YAL051W	YCR035C
YAL051W	YCR036W
YAL051W	YCR063W
YAL051W	YCR081W
YAL051W	YDL012C
YAL051W	YDL024C
YAL051W	YDL029W
YAL051W	YDL037C
YAL051W	YDL039C
YAL051W	YDL047W
YAL051W	YDL048C
YAL051W	YDL049C
YAL051W	YDL070W
YAL051W	YDL071C
YAL051W	YDL078C
YAL051W	YDL100C
YAL051W	YDL110C
YAL051W	YDL111C
YAL051W	YDL120W
YAL051W	YDL132W
YAL051W	YDL135C
YAL051W	YDL145C
YAL051W	YDL170W
YAL051W	YDL171C
YAL051W	YDL178W
YAL051W	YDL179W
YAL051W	YDL188C
YAL051W	YDL201W
YAL051W	YDL214C
YAL051W	YDL220C
YAL051W	YDL222C
YAL051W	YDL223C
YAL051W	YDL242W
YAL051W	YDL246C
YAL051W	YDR001C
YAL051W	YDR002W
YAL051W	YDR011W
YAL051W	YDR019C
YAL051W	YDR034W-B
YAL051W	YDR035W
YAL051W	YDR040C
YAL051W	YDR041W
YAL051W	YDR071C
YAL051W	YDR072C
YAL051W	YDR073W
YAL051W	YDR077W
YAL051W	YDR083W
YAL051W	YDR088C
YAL051W	YDR096W
YAL051W	YDR099W
YAL051W	YDR111C
YAL051W	YDR122W
YAL051W	YDR160W
YAL051W	YDR174W
YAL051W	YDR186C
YAL051W	YDR202C
YAL051W	YDR207C
YAL051W	YDR208W
YAL051W	YDR209C
YAL051W	YDR213W
YAL051W	YDR216W
YAL051W	YDR224C
YAL051W	YDR225W
YAL051W	YDR243C
YAL051W	YDR244W
YAL051W	YDR247W
YAL051W	YDR255C
YAL051W	YDR256C
YAL051W	YDR275W
YAL051W	YDR276C
YAL051W	YDR277C
YAL051W	YDR279W
YAL051W	YDR281C
YAL051W	YDR297W
YAL051W	YDR309C
YAL051W	YDR322W
YAL051W	YDR339C
YAL051W	YDR344C
YAL051W	YDR345C
YAL051W	YDR383C
YAL051W	YDR384C
YAL051W	YDR385W
YAL051W	YDR406W
YAL051W	YDR424C
YAL051W	YDR487C
YAL051W	YDR490C
YAL051W	YDR492W
YAL051W	YDR505C
YAL051W	YDR508C
YAL051W	YDR510W
YAL051W	YDR528W
YAL051W	YDR533C
YAL051W	YDR536W
YAL051W	YEL011W
YAL051W	YEL017C-A
YAL051W	YEL017W
YAL051W	YEL036C
YAL051W	YEL037C
YAL051W	YEL040W
YAL051W	YEL044W
YAL051W	YEL046C
YAL051W	YEL051W
YAL051W	YEL054C
YAL051W	YEL058W
YAL051W	YEL059C-A
YAL051W	YEL060C
YAL051W	YER001W
YAL051W	YER003C
YAL051W	YER005W
YAL051W	YER011W
YAL051W	YER015W
YAL051W	YER024W
YAL051W	YER029C
YAL051W	YER033C
YAL051W	YER034W
YAL051W	YER035W
YAL051W	YER044C-A
YAL051W	YER045C
YAL051W	YER046W
YAL051W	YER065C
YAL051W	YER072W
YAL051W	YER075C
YAL051W	YER083C
YAL051W	YER088C
YAL051W	YER100W
YAL051W	YER103W
YAL051W	YER114C
YAL051W	YER130C
YAL051W	YER131W
YAL051W	YER137C
YAL051W	YER145C
YAL051W	YER145C-A
YAL051W	YER146W
YAL051W	YER149C
YAL051W	YER150W
YAL051W	YER152C
YAL051W	YER184C
YAL051W	YER185W
YAL051W	YFL014W
YAL051W	YFL016C
YAL051W	YFL021W
YAL051W	YFL022C
YAL051W	YFL030W
YAL051W	YFL051C
YAL051W	YFL064C
YAL051W	YFR006W
YAL051W	YFR011C
YAL051W	YFR017C
YAL051W	YFR019W
YAL051W	YFR033C
YAL051W	YFR034C
YAL051W	YFR041C
YAL051W	YFR055W
YAL051W	YGL007C-A
YAL051W	YGL035C
YAL051W	YGL037C
YAL051W	YGL045W
YAL051W	YGL055W
YAL051W	YGL056C
YAL051W	YGL062W
YAL051W	YGL063W
YAL051W	YGL064C
YAL051W	YGL096W
YAL051W	YGL106W
YAL051W	YGL112C
YAL051W	YGL125W
YAL051W	YGL127C
YAL051W	YGL143C
YAL051W	YGL145W
YAL051W	YGL146C
YAL051W	YGL148W
YAL051W	YGL162W
YAL051W	YGL163C
YAL051W	YGL166W
YAL051W	YGL179C
YAL051W	YGL197W
YAL051W	YGL200C
YAL051W	YGL201C
YAL051W	YGL202W
YAL051W	YGL205W
YAL051W	YGL206C
YAL051W	YGL228W
YAL051W	YGL229C
YAL051W	YGL231C
YAL051W	YGL237C
YAL051W	YGL253W
YAL051W	YGR012W
YAL051W	YGR014W
YAL051W	YGR020C
YAL051W	YGR023W
YAL051W	YGR024C
YAL051W	YGR032W
YAL051W	YGR033C
YAL051W	YGR035C
YAL051W	YGR050C
YAL051W	YGR052W
YAL051W	YGR060W
YAL051W	YGR065C
YAL051W	YGR067C
YAL051W	YGR079W
YAL051W	YGR081C
YAL051W	YGR088W
YAL051W	YGR095C
YAL051W	YGR097W
YAL051W	YGR108W
YAL051W	YGR109C
YAL051W	YGR117C
YAL051W	YGR118W
YAL051W	YGR132C
YAL051W	YGR135W
YAL051W	YGR136W
YAL051W	YGR137W
YAL051W	YGR138C
YAL051W	YGR142W
YAL051W	YGR151C
YAL051W	YGR161C
YAL051W	YGR161W-C
YAL051W	YGR164W
YAL051W	YGR165W
YAL051W	YGR167W
YAL051W	YGR175C
YAL051W	YGR180C
YAL051W	YGR181W
YAL051W	YGR188C
YAL051W	YGR195W
YAL051W	YGR201C
YAL051W	YGR202C
YAL051W	YGR203W
YAL051W	YGR204W
YAL051W	YGR219W
YAL051W	YGR220C
YAL051W	YGR241C
YAL051W	YGR243W
