Gene;Gene_ID;Phenotype;Essentiality_0_1
AAC1;YMR056C;viable;0
AAC1;YMR056C;viable;0
AAC1;YMR056C;viable;0
AAC3;YBR085W;viable;0
AAC3;YBR085W;viable;0
AAD10;YJR155W;viable;0
AAD14;YNL331C;viable;0
AAD14;YNL331C;viable;0
AAD14;YNL331C;viable;0
AAD15;YOL165C;viable;0
AAD3;YCR107W;viable;0
AAD4;YDL243C;viable;0
AAD4;YDL243C;viable;0
AAD6;YFL056C;viable;0
AAD6;YFL056C;viable;0
AAH1;YNL141W;viable;0
AAN1;YKL075C;viable;0
AAP1;YHR047C;viable;0
AAT1;YKL106W;viable;0
AAT2;YLR027C;viable;0
AAT2;YLR027C;viable;0
ABF2;YMR072W;viable;0
ABM1;YJR108W;viable;0
ABP1;YCR088W;viable;0
ABP140;YOR239W;viable;0
ABP140;YOR239W;viable;0
ABZ1;YNR033W;viable;0
ABZ2;YMR289W;viable;0
ACA1;YER045C;viable;0
ACB1;YGR037C;viable;0
ACB1;YGR037C;viable;0
ACE2;YLR131C;viable;0
ACF2;YLR144C;viable;0
ACF4;YJR083C;viable;0
ACH1;YBL015W;viable;0
ACK1;YDL203C;viable;0
ACL4;YDR161W;viable;0
ACM1;YPL267W;viable;0
ACO1;YLR304C;viable;0
ACO2;YJL200C;viable;0
ACP1;YKL192C;viable;0
ACS1;YAL054C;viable;0
ADA2;YDR448W;viable;0
ADD37;YMR184W;viable;0
ADD37;YMR184W;viable;0
ADD66;YKL206C;viable;0
ADE1;YAR015W;viable;0
ADE16;YLR028C;viable;0
ADE17;YMR120C;viable;0
ADE2;YOR128C;viable;0
ADE3;YGR204W;viable;0
ADE4;YMR300C;viable;0
ADE57;YGL234W;viable;0
ADE6;YGR061C;viable;0
ADE8;YDR408C;viable;0
ADF1;YCL058W-A;viable;0
ADH1;YOL086C;viable;0
ADH2;YMR303C;viable;0
ADH3;YMR083W;viable;0
ADH3;YMR083W;viable;0
ADH4;YGL256W;viable;0
ADH4;YGL256W;viable;0
ADH5;YBR145W;viable;0
ADH6;YMR318C;viable;0
ADH7;YCR105W;viable;0
ADI1;YMR009W;viable;0
ADK1;YDR226W;viable;0
ADK1;YDR226W;viable;0
ADK1;YDR226W;viable;0
ADK2;YER170W;viable;0
ADO1;YJR105W;viable;0
